,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
91435,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'DSL'})","frozenset({'Broadband Premium', 'Broadband Family', 'Wireless Broadband'})",0.33085106382978724,0.498936170212766,0.3074468085106383,0.9292604501607717,1.862483631452293,0.1423732458125849,7.083220502901359
91588,"frozenset({'Wireless Broadband', 'Postpaid Roaming', 'F2H Fiber', 'Broadband Premium', 'Broadband Family'})",frozenset({'DSL'}),0.33191489361702126,0.5468085106382978,0.31170212765957445,0.9391025641025641,1.717424922677841,0.13020823902218198,7.441881298992161
91589,"frozenset({'Wireless Broadband', 'Postpaid Roaming', 'F2H Fiber', 'Broadband Premium', 'DSL'})",frozenset({'Broadband Family'}),0.324468085106383,0.7585106382978724,0.31170212765957445,0.960655737704918,1.2665026555997516,0.06558963331824352,6.137854609929067
91590,"frozenset({'Wireless Broadband', 'Postpaid Roaming', 'F2H Fiber', 'Broadband Family', 'DSL'})",frozenset({'Broadband Premium'}),0.3159574468085106,0.7425531914893617,0.31170212765957445,0.9865319865319865,1.3285674317192941,0.07708691715708463,19.115425531914823
91593,"frozenset({'Postpaid Roaming', 'F2H Fiber', 'Broadband Premium', 'Broadband Family', 'DSL'})",frozenset({'Wireless Broadband'}),0.3127659574468085,0.6202127659574468,0.31170212765957445,0.9965986394557822,1.606865730854949,0.11772068809416023,111.65744680850688
91595,"frozenset({'Postpaid Roaming', 'Broadband Family', 'Wireless Broadband', 'F2H Fiber'})","frozenset({'Broadband Premium', 'DSL'})",0.3372340425531915,0.5063829787234042,0.31170212765957445,0.9242902208201892,1.8252790075020544,0.14093254866455407,6.519858156028362
91596,"frozenset({'DSL', 'Postpaid Roaming', 'Wireless Broadband', 'F2H Fiber'})","frozenset({'Broadband Premium', 'Broadband Family'})",0.33085106382978724,0.6031914893617021,0.31170212765957445,0.9421221864951768,1.561895688369429,0.11213558171118151,6.8559692671394705
91605,"frozenset({'F2H Fiber', 'Broadband Premium', 'Postpaid Roaming', 'DSL'})","frozenset({'Broadband Family', 'Wireless Broadband'})",0.32659574468085106,0.526595744680851,0.31170212765957445,0.9543973941368078,1.8123910110880797,0.1397181982797646,10.38107902735562
91606,"frozenset({'F2H Fiber', 'Broadband Family', 'Postpaid Roaming', 'DSL'})","frozenset({'Broadband Premium', 'Wireless Broadband'})",0.3170212765957447,0.5702127659574469,0.31170212765957445,0.983221476510067,1.7243063207452665,0.13093254866455406,25.61531914893595
91621,"frozenset({'F2H Fiber', 'Postpaid Roaming', 'DSL'})","frozenset({'Broadband Premium', 'Broadband Family', 'Wireless Broadband'})",0.33297872340425533,0.498936170212766,0.31170212765957445,0.9361022364217252,1.876196380035014,0.14556699864191938,7.841648936170206
